"page","position","agency_name","categories"
11,13,"DOMUS Grand Hotel","Albergo di lusso, Albergo di lusso"
11,14,"ColliPiacentini.it","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
11,15,"Rising Vacations","Agenzia viaggi, Agenzia viaggi"
11,16,"Pachamama Surfhouse","Ostello, Ostello"
11,17,"MITI TRAVEL","Viaggi e vacanze, Viaggi e vacanze"
11,18,"ViaggiConMe","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
11,19,"apn.voyage","Agenzia di viaggi sportivi, Azienda di assicurazioni per i viaggi, Agenzia viaggi, Lounge per viaggiatori, Sito di raccolta di viaggi, Agenzia di viaggi in crociera, Agenzia di viaggi sportivi, Azienda di assicurazioni per i viaggi, Agenzia viaggi, Lounge per viaggiatori, Sito di raccolta di viaggi, Agenzia di viaggi in crociera"
11,20,"Eventi in Bus","Servizio di trasporto, Rivenditore di biglietti per eventi, Agenzia viaggi, Tour operator, Servizio di trasporto, Rivenditore di biglietti per eventi, Agenzia viaggi, Tour operator"
12,1,"ParkinGO","Servizio di navetta per l'aeroporto, Parcheggio, Parcheggio coperto, Servizio di navetta per l'aeroporto, Parcheggio, Parcheggio coperto"
12,2,"Trapianto Capelli | Aratravel - AraMedica","Tour operator, Clinica per il trapianto di capelli, Tour operator, Clinica per il trapianto di capelli"
12,3,"University Holidays","Agenzia viaggi, Agenzia viaggi"
12,4,"Arché Travel","Tour operator, Tour operator"
12,5,"BHS TRAVEL","Tour operator, Tour operator"
12,6,"Movery","Centro informazioni turistiche, Centro informazioni turistiche"
12,7,"Bed and Breakfast","Viaggi e vacanze, Viaggi e vacanze"
12,8,"Weekendesk","Viaggi e vacanze, Viaggi e vacanze"
12,9,"Apuliarentals.com","Casa vacanze, Casa vacanze"
12,10,"Beautyfarmonline.it","Hotel, Tour operator, Agenzia viaggi, Hotel, Tour operator, Agenzia viaggi"
12,11,"Outcage Sailing Yacht","Servizio di noleggio barche, Agenzia di escursioni in barca, Servizio di noleggio barche, Agenzia di escursioni in barca"
12,12,"Awwviaggi","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
12,13,"STELLEDORIENTE VIAGGI","Agenzia viaggi, Agenzia viaggi"
12,14,"Kibilu - Agenzia Affitti Brevi","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
12,15,"Travelmarathon","Agenzia di viaggi sportivi, Agenzia di viaggi sportivi"
12,16,"tempodiviaggi.it","Agenzia viaggi, Agenzia viaggi"
12,17,"Viaggiare in USA","Agenzia per escursioni, Agenzia di escursioni turistiche, Albergo di lusso, Agenzia viaggi, Tour operator, Agenzia per escursioni, Agenzia di escursioni turistiche, Albergo di lusso, Agenzia viaggi, Tour operator"
12,18,"DOLOMITI AFFITTI  Agenzia Affitti Brevi","Casa vacanze per non fumatori, Azienda per la gestione delle proprietà immobiliari, Agenzia di affitto di appartamenti a breve termine, Noleggio di appartamenti per vacanze, Appartamento vacanze, Agenzia di affitto di case vacanze, Casa vacanze per non fumatori, Azienda per la gestione delle proprietà immobiliari, Agenzia di affitto di appartamenti a breve termine, Noleggio di appartamenti per vacanze, Appartamento vacanze, Agenzia di affitto di case vacanze"
12,19,"Allerenitalie","Centro informazioni turistiche, Consulente, Centro informazioni turistiche, Consulente"
12,20,"Pampero viaggi","Agenzia per escursioni, Agenzia viaggi, Consulente per il visto, Agenzia per escursioni, Agenzia viaggi, Consulente per il visto"
13,1,"Vistoinghilterra","Ufficio passaporti e visti, Ufficio passaporti e visti"
13,2,"Diritti Al Volo","Sito di ricerca di voli aerei, Sito di ricerca di voli aerei"
13,3,"Corso Istruttore Sub","Agenzia specializzata in immersioni, Istruttore subacqueo, Centro di formazione, Agenzia specializzata in immersioni, Istruttore subacqueo, Centro di formazione"
13,4,"Travcus","Tour operator, Tour operator"
13,5,"Casa Particular Cuba","Viaggi e vacanze, Viaggi e vacanze"
13,6,"Trevidatravel","Agenzia viaggi, Agenzia viaggi"
13,7,"Luxury Virginia B&B - Casa Vacanze Salento","Alloggio per viaggiatori, Bed & Breakfast, Casa vacanze, Alloggio per viaggiatori, Bed & Breakfast, Casa vacanze"
13,8,"Tripneer.com","Sito di raccolta di viaggi, Centro culturale, Sito di raccolta di viaggi, Centro culturale"
13,9,"Incanto Apartment Golfo Aranci","Casa vacanze, Casa vacanze per non fumatori, Casa vacanze, Casa vacanze per non fumatori"
13,10,"GperGIRAMONDO","Agenzia viaggi, Agenzia viaggi"
13,11,"MoveWise","Consulente fiscale, Consulente per il visto, Consulente fiscale, Consulente per il visto"
13,12,"Hotel Schönblick","Hotel, Hotel"
13,13,"Kirsti, guide at Hikehowyoulike","Agenzia di viaggi sportivi, Agenzia di viaggi sportivi"
13,14,"ebbe Case Vacanze","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
13,15,"Chalet Dolecir","Cottage e chalet, Massaggio-terapista, Casa vacanze, Chalet, Cottage e chalet, Massaggio-terapista, Casa vacanze, Chalet"
13,16,"Bed & Box","Casa vacanze, Casa vacanze"
13,17,"Storywalking","Tour operator, Tour operator"
13,18,"Noleggio Barche La Rosa dei Venti Pantelleria","Servizio di noleggio barche, Agenzia di escursioni turistiche, Servizio di noleggio barche, Agenzia di escursioni turistiche"
13,19,"Myvenilia","Agenzia di viaggi in crociera, Agenzia di viaggi in crociera"
13,20,"Vagocycling","Tour operator, Tour operator"
14,1,"VIP-BOOKING.VACATIONS","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
14,2,"Vianellovenicetour","Attrazione turistica, Attrazione turistica"
14,3,"Method sas di Michael Bolognini & Co.","Parco naturale, Azienda che progetta escursioni di rafting, Centro di sport di avventura, Sport di avventura, Accampamento e campeggio, Parco naturale, Azienda che progetta escursioni di rafting, Centro di sport di avventura, Sport di avventura, Accampamento e campeggio"
14,4,"Yacht and Tours","Servizio di noleggio barche, Agenzia di escursioni in barca, Tour operator, Servizio di noleggio barche, Agenzia di escursioni in barca, Tour operator"
14,5,"Bergamo by Tuk Tuk","Organizzatore di attività all'aperto, Attrazione turistica, Organizzatore di attività all'aperto, Attrazione turistica"
14,6,"Booking Südtirol","Servizio sistemazione per vacanze, Hotel, Noleggio di appartamenti per vacanze, Noleggio vacanze, Sito di raccolta di viaggi, Servizio sistemazione per vacanze, Hotel, Noleggio di appartamenti per vacanze, Noleggio vacanze, Sito di raccolta di viaggi"
14,7,"Roomgo Italia","Viaggi e vacanze, Viaggi e vacanze"
14,8,"Venetoinside.com","Agenzia viaggi, Tour operator, Hotel, Servizio taxi, Agenzia viaggi, Tour operator, Hotel, Servizio taxi"
14,9,"Crocierissime","Agenzia di viaggi in crociera, Agenzia di viaggi in crociera"
14,10,"Gustocamp_IT","Tour operator, Tour operator"
14,11,"Triscovery","Servizio di noleggio barche, Tour operator, Servizio di noleggio barche, Tour operator"
14,12,"Wanderio","Viaggi e vacanze, Viaggi e vacanze"
14,13,"MONTANARI TOUR","Servizio sistemazione per vacanze, Servizio sistemazione per vacanze"
14,14,"All Sea","Tour operator, Tour operator"
14,15,"Winpay","Servizio di spedizioni e consegne, Sito di ricerca di voli aerei, Servizio di sviluppo aziendale, Servizio di coupon, Servizio di spedizioni e consegne, Sito di ricerca di voli aerei, Servizio di sviluppo aziendale, Servizio di coupon"
14,16,"IschiaPrenota.com - Hotels e Vacanze ad Ischia","Tour operator, Tour operator"
14,17,"InfoIschia","Agenzia viaggi, Agenzia viaggi"
14,18,"Puglia Classics","Tour operator, Tour operator"
14,19,"Unconventional Road","Tour operator, Tour operator"
14,20,"Italy Rome Tour","Attrazione turistica, Agenzia per escursioni, Tour operator, Agenzia di escursioni in crociera, Fornitore di escursioni culturali, Agenzia di escursioni turistiche, Attrazione turistica, Agenzia per escursioni, Tour operator, Agenzia di escursioni in crociera, Fornitore di escursioni culturali, Agenzia di escursioni turistiche"
15,1,"Art Hotel Olympic","Bed & Breakfast, Bed & Breakfast"
15,2,"Trippo - Viaggi di gruppo","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
15,3,"Vinbacco","Sito di raccolta di viaggi, Agenzia di escursioni turistiche, Cantina, Sito di raccolta di viaggi, Agenzia di escursioni turistiche, Cantina"
15,4,"Oh-Berlin - Italiano","Hotel, Hotel"
15,5,"Sabbietravel","Tour operator, Tour operator"
15,6,"Le Viaggiatrici Solitarie","Agenzia viaggi, Agenzia viaggi"
15,7,"Milestone Tour Operator","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
15,8,"Mykonos.it","Agenzia viaggi, Agenzia viaggi"
15,9,"Walter Amalfi Coast","Centro informazioni turistiche, Centro informazioni turistiche"
15,10,"Nordic Exploring","Agenzia viaggi, Agenzia viaggi"
15,11,"Albergo Rosa Caorle","Hotel, Hotel"
15,12,"tourofsicily.com","Tour operator, Agenzia di escursioni in elicottero, Agenzia di escursioni in crociera, Agenzia per escursioni, Fornitore di escursioni culturali, Agenzia di escursioni turistiche, Tour operator, Agenzia di escursioni in elicottero, Agenzia di escursioni in crociera, Agenzia per escursioni, Fornitore di escursioni culturali, Agenzia di escursioni turistiche"
15,13,"Driver In Italy","Servizio di limousine, Tour operator, Servizio di limousine, Tour operator"
15,14,"Tecnotravel Napoli Est","Agenzia viaggi, Agenzia viaggi"
15,15,"Cielo Aviation","Noleggio elicotteri, Servizio di noleggio aerei, Agenzia di escursioni in elicottero, Aerotaxi, Noleggio elicotteri, Servizio di noleggio aerei, Agenzia di escursioni in elicottero, Aerotaxi"
15,16,"Your Boat Holiday","Agenzia di escursioni in barca, Agenzia di escursioni in barca"
15,17,"Apuliaria","Agenzia di affitto di case vacanze, Villa, Casa vacanze, Agenzia di affitto di case vacanze, Villa, Casa vacanze"
15,18,"FORADAY","Tour operator, Agenzia di escursioni turistiche, Tour operator, Agenzia di escursioni turistiche"
15,19,"Airport City Centre","Servizio di navetta per l'aeroporto, Servizio di navetta per l'aeroporto"
15,20,"Italy Trails","Tour operator, Tour operator"
16,1,"Tuktuk Bergamo","Attrazione turistica, Attrazione turistica"
16,2,"Crocieriamo","Agenzia di viaggi in crociera, Agenzia di viaggi in crociera"
16,3,"LocalWonders Travel","Tour operator, Tour operator"
16,4,"Immobilelba-Compravendite","Casa vacanze, Casa vacanze"
16,5,"streaty.com","Tour operator, Tour operator"
16,6,"Blue rent","Servizio di noleggio barche, Agenzia di escursioni in barca, Servizio di noleggio barche, Agenzia di escursioni in barca"
16,7,"Easy Car Tour Naples - Do It Local!","Agenzia di viaggi sportivi, Organizzatore di attività all'aperto, Tour operator, Sito di raccolta di viaggi, Agenzia viaggi, Agenzia di viaggi sportivi, Organizzatore di attività all'aperto, Tour operator, Sito di raccolta di viaggi, Agenzia viaggi"
16,8,"Fiumicino Shuttle - Civitavecchia Shuttle","Servizio taxi, Servizio di trasporto, Servizio di navetta per l'aeroporto, Servizio taxi, Servizio di trasporto, Servizio di navetta per l'aeroporto"
16,9,"Trullilazisa","Bed & Breakfast, Casa vacanze, Bed & Breakfast, Casa vacanze"
16,10,"Travelandship","Agenzia viaggi, Agenzia viaggi"
16,11,"Bresciastory","Viaggi e vacanze, Viaggi e vacanze"
16,12,"Discover Experience","Fornitore di escursioni culturali, Agenzia di escursioni turistiche, Agenzia per escursioni, Fornitore di escursioni culturali, Agenzia di escursioni turistiche, Agenzia per escursioni"
16,13,"Agriturismoprincipina","Casa vacanze, Agriturismo, Casa vacanze, Agriturismo"
16,14,"VIP-BOOKING.CO.UK","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
16,15,"AllTours.it","Tour operator, Tour operator"
16,16,"Spiagge.it","Fornitore di soluzioni per l'e-commerce, Servizio sistemazione per vacanze, Fornitore di soluzioni per l'e-commerce, Servizio sistemazione per vacanze"
16,17,"www.suedtirol.ch","Hotel, Sito di raccolta di viaggi, Noleggio vacanze, Settimane bianche, Hotel, Sito di raccolta di viaggi, Noleggio vacanze, Settimane bianche"
16,18,"World Face","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
16,19,"Nuovevacanze","Sito di ricerca di voli aerei, Agenzia di biglietti d'autobus, Agenzia di viaggi in crociera, Agenzia di biglietti aerei, Agenzia viaggi, Agenzia di biglietti ferroviari, Sito di ricerca di voli aerei, Agenzia di biglietti d'autobus, Agenzia di viaggi in crociera, Agenzia di biglietti aerei, Agenzia viaggi, Agenzia di biglietti ferroviari"
16,20,"IperViaggi.it","Appartamento vacanze, Attrazione turistica, Villaggio turistico, Hotel, Appartamento vacanze, Attrazione turistica, Villaggio turistico, Hotel"
17,1,"Romeloft.com","Noleggio vacanze, Noleggio vacanze"
17,2,"Holding Eurant","Tour operator, Tour operator"
17,3,"SopranoVillas","Noleggio vacanze, Noleggio vacanze"
17,4,"FreetourRome","Tour operator, Tour operator"
17,5,"speedvacanze.it","Tour operator, Tour operator"
17,6,"Viaggiarecondoc","Tour operator, Agenzia di escursioni turistiche in autobus, Tour operator, Agenzia di escursioni turistiche in autobus"
17,7,"Travel Angels","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
17,8,"AMAKA","Tour operator, Tour operator"
17,9,"Poggio di Tropea","Villaggio turistico, Hotel, Villaggio turistico, Hotel"
17,10,"Mazzone Turismo","Servizio di taxi con minibus, Noleggio di autobus, Agenzia di escursioni turistiche in autobus, Agenzia di noleggio auto, Servizio di taxi con minibus, Noleggio di autobus, Agenzia di escursioni turistiche in autobus, Agenzia di noleggio auto"
17,11,"feltrebiketour","Agenzia viaggi, Servizio di noleggio biciclette, Tour operator, Agenzia viaggi, Servizio di noleggio biciclette, Tour operator"
17,12,"EnjoYourTrip","Agenzia viaggi, Agenzia viaggi"
17,13,"Seawater Hotel & Medical SPA","Hotel, Hotel"
17,14,"Lacasasullalbero","Campi ricreativi e per vacanze, Campo estivo, Campi ricreativi e per vacanze, Campo estivo"
17,15,"Le Isole d'Italia Tour Operator","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
17,16,"Holiday in Italy.eu","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
17,17,"Dammusotramonto","Casa vacanze, Casa vacanze"
17,18,"Andhaus","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
17,19,"Villamonacelli","Casa vacanze, Casa vacanze"
17,20,"Tototravel","Viaggi e vacanze, Viaggi e vacanze"
18,1,"Macondo Expeditions","Agenzia viaggi, Agenzia viaggi"
18,2,"NautiSardinia","Agenzia per escursioni, Agenzia di escursioni in crociera, Agenzia di escursioni in barca, Tour operator, Servizio di noleggio barche, Agenzia per escursioni, Agenzia di escursioni in crociera, Agenzia di escursioni in barca, Tour operator, Servizio di noleggio barche"
18,3,"Tribe Trip, viaggi social in famiglia","Tour operator, Tour operator"
18,4,"Turro Viaggi Milano","Agenzia viaggi, Agenzia viaggi"
18,5,"Best English 4u","Campi ricreativi e per vacanze, Scuola di inglese, Campo scuola di inglese, Campi ricreativi e per vacanze, Scuola di inglese, Campo scuola di inglese"
18,6,"Amalfi Coast Rentals Primula Tecnocasa","Noleggio vacanze, Noleggio vacanze"
18,7,"Mia Limo","Servizio di navetta per l'aeroporto, Servizio di navetta per l'aeroporto"
18,8,"Logout Livenow","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
18,9,"C'monkey | Transfer & Tourism in Italy","Agenzia viaggi, Agenzia viaggi"
18,10,"VIP-BOOKING.FR","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
18,11,"La Casa di Giò","Bed & Breakfast, Bed & Breakfast"
18,12,"Localo - Home & Rooms","Hotel, Servizio sistemazione per vacanze, Villaggio turistico, Hotel, Servizio sistemazione per vacanze, Villaggio turistico"
18,13,"Gotophototour","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
18,14,"Palazzo Manzoni Apartments","Casa vacanze, Casa vacanze"
18,15,"Falcor Travels","Agenzia viaggi, Agenzia viaggi"
18,16,"Capital Luggage Deposit","Agenzia viaggi, Agenzia viaggi"
18,17,"Civitarese Viaggi","Azienda di trasporti in bus, Servizio di noleggio biciclette, Tour operator, Agenzia viaggi, Agenzia di escursioni turistiche in autobus, Azienda di trasporti in bus, Servizio di noleggio biciclette, Tour operator, Agenzia viaggi, Agenzia di escursioni turistiche in autobus"
18,18,"Elefanteviaggi","Tour operator, Tour operator"
18,19,"BudgetAir.it","Sito di raccolta di viaggi, Agenzia di biglietti aerei, Sito di ricerca di voli aerei, Agenzia di noleggio auto, Agenzia viaggi, Sito di raccolta di viaggi, Agenzia di biglietti aerei, Sito di ricerca di voli aerei, Agenzia di noleggio auto, Agenzia viaggi"
18,20,"Secret Escapes","Hotel, Hotel"
19,1,"Dedalo Tour","Tour operator, Tour operator"
19,2,"Puntaprosciutto","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
19,3,"Praga.org","Viaggi e vacanze, Viaggi e vacanze"
19,4,"Lowcostsicilia","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
19,5,"IONIAN TRAVEL","Tour operator, Agenzia di affitto di case vacanze, Agenzia viaggi, Agenzia per escursioni, Tour operator, Agenzia di affitto di case vacanze, Agenzia viaggi, Agenzia per escursioni"
19,6,"Viaggi New York.it","Sito di raccolta di viaggi, Sito di raccolta di viaggi"
19,7,"Versisamerica","Tour operator, Tour operator"
19,8,"Londonita","Agenzia viaggi, Agenzia viaggi"
19,9,"Taxi Naples","Servizio di trasporto, Agenzia di escursioni turistiche in autobus, Noleggio di autobus, Servizio di trasporto, Agenzia di escursioni turistiche in autobus, Noleggio di autobus"
19,10,"Sportful Travel","Viaggi e vacanze, Viaggi e vacanze"
19,11,"Quiiky.com","Tour operator, Tour operator"
19,12,"SpaDreams Italia","Agenzia viaggi, Agenzia viaggi"
19,13,"Il Mio Viaggio a Dubai","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
19,14,"Dorinogiteinbarca","Agenzia di escursioni in crociera, Tour operator, Agenzia di escursioni in barca, Agenzia di escursioni in crociera, Tour operator, Agenzia di escursioni in barca"
19,15,"Take the plane","Agenzia viaggi, Agenzia viaggi"
19,16,"Travel in Progress","Tour operator, Tour operator"
19,17,"IschiaLike.com","Centro informazioni turistiche, Centro informazioni turistiche"
19,18,"Lastminuteclick","Viaggi e vacanze, Viaggi e vacanze"
19,19,"Hotel L'Antico Pozzo","Hotel, Boutique hotel, Hotel, Boutique hotel"
19,20,"MyGuides","Agenzia di escursioni turistiche, Tour operator, Agenzia viaggi, Agenzia di escursioni turistiche, Tour operator, Agenzia viaggi"
20,1,"I Go Travel","Agenzia viaggi, Agenzia viaggi"
20,2,"RomeHabiCabs","Servizio di navetta per l'aeroporto, Agenzia viaggi, Servizio di navetta per l'aeroporto, Agenzia viaggi"
20,3,"todoin","Agenzia viaggi, Agenzia viaggi"
20,4,"Mama Florence","Agenzia di escursioni turistiche, Organizzatore di eventi, Attrazione turistica, Corso di cucina, Scuola di cucina, Agenzia di escursioni turistiche, Organizzatore di eventi, Attrazione turistica, Corso di cucina, Scuola di cucina"
20,5,"Casa Lerario","Ristorante griglieria, Bed & Breakfast, Location per matrimoni, Servizi per feste per bambini, Ristorante di cibo salutare, Ristorante griglieria, Bed & Breakfast, Location per matrimoni, Servizi per feste per bambini, Ristorante di cibo salutare"
20,6,"Flatinrome","Noleggio vacanze, Noleggio vacanze"
20,7,"Sancataldo Suite","Casa vacanze, Bed & Breakfast, Appartamento vacanze, Casa vacanze, Bed & Breakfast, Appartamento vacanze"
20,8,"Bibiviaggi","Centro informazioni turistiche, Agenzia di escursioni turistiche, Sito di ricerca di voli aerei, Agenzia viaggi, Villaggio turistico, Hotel per soggiorni prolungati, Centro informazioni turistiche, Agenzia di escursioni turistiche, Sito di ricerca di voli aerei, Agenzia viaggi, Villaggio turistico, Hotel per soggiorni prolungati"
20,9,"Royal Dream","Agenzia di affitto di case vacanze, Azienda per la gestione delle proprietà immobiliari, Noleggio di appartamenti per vacanze, Noleggio vacanze, Agenzia di affitto di case vacanze, Azienda per la gestione delle proprietà immobiliari, Noleggio di appartamenti per vacanze, Noleggio vacanze"
20,10,"Holidays Moveen","Hotel, Hotel"
20,11,"Residence Mimì","Appartamento vacanze, Noleggio di appartamenti per vacanze, Struttura ricettiva che accetta gli animali, Casa vacanze, Appartamento vacanze, Noleggio di appartamenti per vacanze, Struttura ricettiva che accetta gli animali, Casa vacanze"
20,12,"Lets.it","Viaggi e vacanze, Viaggi e vacanze"
20,13,"IMBARCOIMMEDIATO VIAGGI","Tour operator, Tour operator"
20,14,"Hotel Terme Milano - Abano Terme","Viaggi e vacanze, Viaggi e vacanze"
20,15,"Florencesyndrome","Fornitore di escursioni culturali, Agenzia di escursioni turistiche, Fornitore di escursioni culturali, Agenzia di escursioni turistiche"
20,16,"Italytourtickets","Tour operator, Tour operator"
20,17,"MALIA HOLIDAY VILLA","Casa vacanze, Casa vacanze"
20,18,"Mybnb","Noleggio vacanze, Noleggio vacanze"
20,19,"Moondoo","Tour operator, Tour operator"
20,20,"Viaggi Fotografici","Agenzia viaggi, Lezioni di fotografia, Agenzia viaggi, Lezioni di fotografia"
21,1,"IKIGAI SAILING","Agenzia di viaggi sportivi, Scuola di vela, Agenzia di viaggi sportivi, Scuola di vela"
21,2,"Occorrente","Negozio di forniture per hotel, Negozio di forniture per hotel"
21,3,"MountVacation","Viaggi e vacanze, Viaggi e vacanze"
21,4,"Chris Tour Viaggi","Agenzia di viaggi in crociera, Agenzia viaggi, Agenzia di viaggi sportivi, Agenzia di viaggi in crociera, Agenzia viaggi, Agenzia di viaggi sportivi"
21,5,"TransferMilan Ltd","Servizio taxi, Servizio di corriere e consegne, Servizio di taxi con minibus, Servizio di navetta per l'aeroporto, Servizio di limousine, Servizio taxi, Servizio di corriere e consegne, Servizio di taxi con minibus, Servizio di navetta per l'aeroporto, Servizio di limousine"
21,6,"Terme Margherita di Savoia","Hotel benessere, Hotel benessere"
21,7,"VadoBay","Agenzia viaggi, Agenzia viaggi"
21,8,"Sardegna Luxury Boat Rental & Concierge Services","Tour operator, Tour operator"
21,9,"Typney","Agenzia di affitto di case vacanze, Alloggio, Agenzia di affitto di case vacanze, Alloggio"
21,10,"Nomads Embassy","Piattaforma di collaborazione sul web, Agenzia di consulenza per l'IT e le imprese, Sito di raccolta di viaggi, Piattaforma di collaborazione sul web, Agenzia di consulenza per l'IT e le imprese, Sito di raccolta di viaggi"
21,11,"WorldTours","Viaggi e vacanze, Viaggi e vacanze"
21,12,"Cinque Terre Ferries","Agenzia di escursioni in barca, Agenzia di escursioni turistiche, Agenzia di escursioni in crociera, Agenzia di escursioni in barca, Agenzia di escursioni turistiche, Agenzia di escursioni in crociera"
21,13,"Fewo Toskana","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
21,14,"Master Studio","Tour operator, Fornitore di servizi legati alla carriera e all'istruzione, Organizzazioni di studenti stranieri in mobilità, Tour operator, Fornitore di servizi legati alla carriera e all'istruzione, Organizzazioni di studenti stranieri in mobilità"
21,15,"TurcoGlobalService","Noleggio elicotteri, Servizio di noleggio barche, Noleggio di appartamenti per vacanze, Servizio di noleggio aerei, Agenzia di noleggio auto, Noleggio elicotteri, Servizio di noleggio barche, Noleggio di appartamenti per vacanze, Servizio di noleggio aerei, Agenzia di noleggio auto"
21,16,"Zonzers","Sito di raccolta di viaggi, Sport di avventura, Azienda multimediale, Sito di raccolta di viaggi, Sport di avventura, Azienda multimediale"
21,17,"GenovaStanze","Alloggio, Alloggio"
21,18,"NBTS Viaggi","Viaggi e vacanze, Viaggi e vacanze"
21,19,"A casa...da Alice","Alloggio completo di servizi, Appartamento vacanze, Bed & Breakfast, Alloggio completo di servizi, Appartamento vacanze, Bed & Breakfast"
21,20,"Hotel Residenza San Calisto","Hotel, Hotel per famiglie, Appartamento vacanze, Hotel, Hotel per famiglie, Appartamento vacanze"
22,1,"Kanoa","Viaggi e vacanze, Viaggi e vacanze"
22,2,"Visitando-Italia.com | TransportesEnRoma.com","Tour operator, Tour operator"
22,3,"Turama","Centro informazioni turistiche, Centro informazioni turistiche"
22,4,"Cefalu.net","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
22,5,"wellcomolakeboat.com","Tour operator, Agenzia di escursioni in barca, Tour operator, Agenzia di escursioni in barca"
22,6,"Mytravelowcost","Tour operator, Tour operator"
22,7,"Villa il Poggiolo","Casa vacanze, Casa vacanze"
22,8,"Siam Viaggi","Tour operator, Tour operator"
22,9,"Servizi Italia","Hotel, Servizi per le imprese, Agriturismo, Appartamento vacanze, Hotel, Servizi per le imprese, Agriturismo, Appartamento vacanze"
22,10,"Discoverando","Agenzia viaggi, Agenzia viaggi"
22,11,"Meeters.org","Tour operator, Tour operator"
22,12,"Borsaviaggi","Viaggi e vacanze, Viaggi e vacanze"
22,13,"IT'S TUSCANY","Servizio di ordini alimentari online, Fornitore di escursioni culturali, Sito di raccolta di viaggi, Servizio di notizie, Servizio di ordini alimentari online, Fornitore di escursioni culturali, Sito di raccolta di viaggi, Servizio di notizie"
22,14,"SkylineWebcams","Attrazione turistica, Attrazione turistica"
22,15,"Grand Hotel Resort & SPA Ma&Ma","Hotel, Hotel benessere, Hotel, Hotel benessere"
22,16,"Bookholidayscomo","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
22,17,"Mauvillas","Tour operator, Tour operator"
22,18,"Residence ""Oasi sul Mare""","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
22,19,"Spotland","Centro informazioni turistiche, Centro informazioni turistiche"
22,20,"Viaggiare Bene","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
23,1,"Comfort Accommodation Di Mazzoleni Laura","Hotel, Appartamento vacanze, Bed & Breakfast, Casa vacanze, Boutique hotel, Complesso di appartamenti, Hotel, Appartamento vacanze, Bed & Breakfast, Casa vacanze, Boutique hotel, Complesso di appartamenti"
23,2,"Zampinoviaggi","Agenzia di escursioni in crociera, Agenzia viaggi, Agenzia di escursioni in crociera, Agenzia viaggi"
23,3,"Hotel Holidays","Hotel, Hotel"
23,4,"Sardaignenliberte- Sardinia Fair Travel","Agenzia per escursioni, Sistemazione in famiglia, Agenzia di escursioni turistiche, Agenzia viaggi, Agenzia di escursioni in barca, Area per escursioni, Agenzia per escursioni, Sistemazione in famiglia, Agenzia di escursioni turistiche, Agenzia viaggi, Agenzia di escursioni in barca, Area per escursioni"
23,5,"DIMORE TOSCANE","Azienda per la gestione delle proprietà immobiliari, Hotel, Agenzia di affitto di case vacanze, Complesso residenziale, Azienda per la gestione delle proprietà immobiliari, Hotel, Agenzia di affitto di case vacanze, Complesso residenziale"
23,6,"Casa Camilla Bitonto - Bed and Breakfast","Bed & Breakfast, Bed & Breakfast"
23,7,"Castello di Montegiove","Cantina, Vigneto, Fattoria, Enoteca, Casa vacanze, Produzione agricola, Cantina, Vigneto, Fattoria, Enoteca, Casa vacanze, Produzione agricola"
23,8,"Sicilia Case Vacanze","Noleggio vacanze, Noleggio vacanze"
23,9,"Viaggialo.com","Viaggi e vacanze, Viaggi e vacanze"
23,10,"B&B I BORBONE Napoli - Bed and Breakfast","Bed & Breakfast, Bed & Breakfast"
23,11,"Villa Wanda","Appartamento vacanze, Casa vacanze, Appartamento vacanze, Casa vacanze"
23,12,"Nancy Aiello Tours","Tour operator, Tour operator"
23,13,"Alphabet Education","Campo scuola di inglese, Scuola di lingue, Campi ricreativi e per vacanze, Scuola, Scuola di inglese, Campo scuola di inglese, Scuola di lingue, Campi ricreativi e per vacanze, Scuola, Scuola di inglese"
23,14,"ILS Srl - International Limousine Service","Servizio di limousine, Agenzia viaggi, Servizio di limousine, Agenzia viaggi"
